"weight";"word";"color";"url"
"17";"Human Activity Recognition";"";"https://www.lorem.com"
"16";"Biomedical Engineering";"";"https://www.ipsum.com"
"15";"Sensors";"";""
"14";"Artificial Intelligence";"";""
"14";"Biosignal Processing";"";""
"13";"Machine Learning";"";""
"13";"Wearables";"";""
"12";"Activity Modeling";"";""
"11";"Open-Source Codebanks";"";""
"11";"Real-Time Systems";"";""
"11";"Time-Series Analysis";"";""
"10";"Human-Computer Interaction";"";""
"9";"Big Data";"";""
"9";"Body Area Network";"";""
"9";"Inertial";"";""
"8";"Electrogoniometer";"";""
"8";"Folk Music";"";""
"8";"Pervasive Computing";"";""
"7";"Karaoke Singing Assistance";"";""
"7";"Metaverse - VR/AR/MR";"";""
"7";"Music Information Retrieval";"";""
"6";"Hidden Markov Model";"";""
"6";"Outlier Detection";"";""
"5";"Action Unit Recognition";"";""
"5";"Muscle Synergy";"";""
"5";"Sports Sonification";"";""
